url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/hopper/fe145538-7880-46d8-a8e8-74cc1ddc78eb	2026-04-10	ashby	Senior SRE, Platform & Cloud FinOps (Remote USA)	Hopper	added
https://jobs.ashbyhq.com/lovelace/ae133a7f-b492-4611-b34e-f68975732bc9	2026-04-10	ashby	Software Engineer - SRE	Lovelace AI	added
https://jobs.ashbyhq.com/Anagram/72bc0471-ab17-4123-81fa-c1ee3921af1f	2026-04-10	ashby	Site Reliability Engineer	Anagram	added
https://jobs.ashbyhq.com/hopper/98b06751-2e5e-49bb-892f-f3afdb09b9a9	2026-04-10	ashby	SRE - Platform Infrastructure (Remote Ireland)	Hopper	added
https://jobs.ashbyhq.com/lavendo/a9187058-ea1d-47a7-b21e-2f3135ae9ab2	2026-04-10	ashby	Cloud Solutions Architect (Infra & AI Cloud)	Lavendo	added
https://jobs.ashbyhq.com/astronomer/e17adb84-0f0a-43a4-a7f8-2aaca066c367	2026-04-10	ashby	Resident Solutions Architect, Infrastructure	Astronomer	added
https://jobs.ashbyhq.com/astronomer/17fc28d3-d592-4919-8f4b-7581fd8510d0	2026-04-10	ashby	Resident Solutions Architect, Infrastructure (East Coast)	Astronomer	added
https://jobs.ashbyhq.com/Rogo/8cc6b106-947b-442a-9db3-f5e7dad0276f	2026-04-10	ashby	Cloud Solutions Architect	Rogo	added
https://jobs.ashbyhq.com/Deepgram/c270da71-66b3-4f9f-9ee1-773a062944d3	2026-04-10	ashby	QA Engineering Manager	Deepgram	added
https://jobs.ashbyhq.com/tem/556ce1a1-b688-47a9-b555-17a59bb65fe6	2026-04-10	ashby	QA Engineering Manager	tem	added
https://jobs.ashbyhq.com/creditgenie/3f82edbc-d8dc-4b96-baaf-5aa0b94c7ef1	2026-04-10	ashby	QA Engineering Manager	Credit Genie	added
https://jobs.ashbyhq.com/threataware/b5891002-b888-4175-8b22-740a1088b591	2026-04-10	ashby	Senior QA Manager	ThreatAware	added
